TC_ID,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P
9,54455514.250000000000000,9371564.000000000000000,27916088.500000000000000,1322358.500000000000000,1518639.750000000000000,5516971.250000000000000,3103042.750000000000000,5706849.500000000000000,40128650.750000000000000,14326863.500000000000000,17.209577632443349,51.264025112020683,2.428327999859078,2.788771295094326,10.131152604072598,5.698307678730625,10.479837677779344,73.690702039417431,26.309297960582569
14,124789517.250000000000000,23248136.000000000000000,41517177.000000000000000,24668620.500000000000000,5889144.500000000000000,4980190.250000000000000,7416413.250000000000000,17069835.750000000000000,95323078.000000000000000,29466439.250000000000000,18.629878945220458,33.269763290153278,19.768183292655536,4.719262186263486,3.990872278176074,5.943138024279840,13.678901983251320,76.387087714292761,23.612912285707235
15,72604181.500000000000000,17672650.250000000000000,33078885.250000000000000,359608.750000000000000,574036.500000000000000,6519610.250000000000000,6011713.250000000000000,8387677.250000000000000,51685180.750000000000000,20919000.750000000000000,24.341091497601965,45.560578697523091,0.495300329224151,0.790638346360257,8.979662211328696,8.280119857834910,11.552609060126930,71.187608870709468,28.812391129290539
16,45417044.750000000000000,12702233.000000000000000,21350002.000000000000000,44071.250000000000000,44622.250000000000000,3933757.000000000000000,2854127.000000000000000,4488232.250000000000000,34140928.500000000000000,11276116.250000000000000,27.967986622467329,47.008787378223239,0.097036806869738,0.098250007779293,8.661411198490629,6.284264015218648,9.882263970951126,75.172060815339606,24.827939184660401
17,48568438.000000000000000,19137308.250000000000000,15691269.250000000000000,116934.750000000000000,193015.750000000000000,3661584.500000000000000,4132229.000000000000000,5636096.500000000000000,35138528.000000000000000,13429910.000000000000000,39.402766566221466,32.307543532695036,0.240762838615481,0.397409836404457,7.539020505456651,8.508054140015787,11.604442580591122,72.348482773936439,27.651517226063561
18,92762846.250000000000000,17111761.250000000000000,34722619.750000000000000,5812948.750000000000000,2945692.000000000000000,5569540.500000000000000,5422675.750000000000000,21177608.250000000000000,60593021.750000000000000,32169824.500000000000000,18.446783320859993,37.431602364184677,6.266462258320367,3.175508427222284,6.004063830674018,5.845741015088786,22.829838783649873,65.320356370587334,34.679643629412674
19,29999545.750000000000000,8996277.500000000000000,10387973.500000000000000,17371.000000000000000,192973.750000000000000,3423164.500000000000000,2822156.500000000000000,4159629.000000000000000,19594595.750000000000000,10404950.000000000000000,29.988045735659181,34.627102645379217,0.057904210099581,0.643255573294806,11.410721110668817,9.407330776000167,13.865639948898226,65.316308164432797,34.683691835567210
20,14293841.250000000000000,3275403.000000000000000,4279254.250000000000000,5006.500000000000000,14215.250000000000000,2124400.000000000000000,1324496.250000000000000,3271066.000000000000000,7573879.000000000000000,6719962.250000000000000,22.914785065211216,29.937748539077973,0.035025574388550,0.099450174039116,14.862344997710114,9.266202323325789,22.884443326247240,52.987009352716854,47.012990647283139
21,14958779.750000000000000,2994625.250000000000000,5499025.000000000000000,95487.500000000000000,29857.500000000000000,2171522.250000000000000,1521844.250000000000000,2646418.000000000000000,8618995.250000000000000,6339784.500000000000000,20.019181377411481,36.761187021287618,0.638337495409677,0.199598500004654,14.516707153202118,10.173585515890760,17.691402936793690,57.618304394113430,42.381695605886570
22,45616254.000000000000000,12878009.750000000000000,11838822.500000000000000,768784.000000000000000,504233.000000000000000,5050715.000000000000000,5254243.000000000000000,9321446.750000000000000,25989849.250000000000000,19626404.750000000000000,28.231186519612066,25.953079137098804,1.685329093441123,1.105380112974643,11.072182735566143,11.518357031245923,20.434485370061296,56.974974863126640,43.025025136873360
